C6-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C6-B,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
C5-A,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S1  ,000003,000000 ,000000 ,000003 ,000004,000000 ,000000 ,000000 ,000004 ,000012,000284 
S2  ,000001,000000 ,000000 ,000001 ,000008,000000 ,000000 ,000000 ,000008 ,000023,000506 
S3  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S5  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
W3  ,000004,000000 ,000000 ,000004 ,000005,000000 ,000000 ,000000 ,000005 ,000022,000460 
W4  ,000001,000000 ,000000 ,000001 ,000005,000000 ,000000 ,000000 ,000005 ,000031,000647 
S3ON,000001,000000 ,000001-,000000 ,000006,000000 ,000001-,000001-,000004 ,000018,000428 
S4  ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHD,000061,000000 ,000002-,000059 ,000004,000000 ,000002-,000002-,000000 ,000028,000558 
ICUA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ICUC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CICU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
PAHD,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
INCH,000004,000000 ,000001-,000003 ,000011,000000 ,000001-,000000 ,000010 ,000024,000506 
PICU,000000,000000 ,000001-,000001-,000001,000000 ,000001-,000001-,000001-,000003,000107 
ADOL,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
LDRA,000000,000000 ,000000 ,000000 ,000003,000000 ,000000 ,000000 ,000003 ,000010,000179 
LDRB,000000,000000 ,000000 ,000000 ,000004,000000 ,000000 ,000000 ,000004 ,000007,000173 
LDRC,000007,000000 ,000000 ,000007 ,000001,000000 ,000000 ,000000 ,000001 ,000010,000181 
PCU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
WIN2,000000,000000 ,000000 ,000000 ,000006,000000 ,000000 ,000000 ,000006 ,000012,000266 
NICU,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000001-,000000 ,000025,000443 
NCCN,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000013,000226 
APTU,000002,000000 ,000000 ,000002 ,000004,000000 ,000000 ,000000 ,000004 ,000026,000571 
S64 ,000000,000000 ,000001-,000001-,000008,000000 ,000001-,000001-,000006 ,000025,000579 
NURA,000000,000000 ,000000 ,000000 ,000002,000000 ,000000 ,000000 ,000002 ,000008,000159 
NURD,000000,000000 ,000000 ,000000 ,000005,000000 ,000000 ,000000 ,000005 ,000007,000176 
OBHD,000014,000000 ,000001-,000013 ,000001,000000 ,000001-,000000 ,000000 ,000000,000005 
NURB,000004,000000 ,000000 ,000004 ,000002,000000 ,000000 ,000000 ,000002 ,000003,000075 
NURC,000015,000000 ,000000 ,000015 ,000000,000000 ,000000 ,000000 ,000000 ,000001,000031 
SURA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
SWAP,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
DSTB,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CHST,000003,000000 ,000000 ,000003 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000001 
DSTA,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ENDO,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS6,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESS2,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESCH,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
EDAU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S66 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
CVIC,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
S15 ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
HVCC,000003,000000 ,000000 ,000003 ,000002,000000 ,000000 ,000000 ,000002 ,000026,000532 
M5  ,000000,000000 ,000001-,000001-,000006,000000 ,000001-,000001-,000004 ,000027,000551 
M6  ,000002,000000 ,000000 ,000002 ,000007,000000 ,000000 ,000000 ,000007 ,000030,000637 
M7  ,000002,000000 ,000001-,000001 ,000005,000000 ,000001-,000001-,000003 ,000034,000716 
CARE,000006,000000 ,000001-,000005 ,000001,000000 ,000001-,000001-,000001-,000000,000002 
D5A ,000008,000000 ,000001-,000007 ,000008,000000 ,000001-,000001-,000006 ,000031,000673 
MICU,000000,000000 ,000000 ,000000 ,000001,000000 ,000000 ,000000 ,000001 ,000016,000296 
NIU ,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000009,000172 
SICU,000001,000000 ,000000 ,000001 ,000000,000000 ,000000 ,000000 ,000000 ,000009,000197 
PIC ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
D3B ,000004,000000 ,000001-,000003 ,000001,000000 ,000001-,000000 ,000000 ,000004,000093 
ICTU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
ESHP,000013,000000 ,000003-,000010 ,000003,000000 ,000003-,000000 ,000000 ,000001,000014 
SW5 ,000001,000000 ,000001-,000000 ,000006,000000 ,000001-,000001-,000004 ,000030,000638 
SW6 ,000002,000000 ,000000 ,000002 ,000006,000000 ,000000 ,000000 ,000006 ,000024,000609 
SW7 ,000010,000000 ,000000 ,000010 ,000008,000000 ,000000 ,000000 ,000008 ,000025,000540 
D6B ,000000,000000 ,000000 ,000000 ,000008,000000 ,000000 ,000000 ,000008 ,000034,000853 
D6A ,000000,000000 ,000002-,000002-,000009,000000 ,000002-,000001-,000006 ,000036,000715 
PPU ,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000000,000000 
NCCU,000000,000000 ,000000 ,000000 ,000000,000000 ,000000 ,000000 ,000000 ,000004,000075 
TOTL,000176,000000 ,000018-,000158 ,000152,000000 ,000018-,000012-,000122 ,000648,013874 
